time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2023-01-01T00:00:00.0000000Z,2023-01-02T00:00:00.0000000Z,2023-01-01T00:00:30.1080000Z,2023-01-01T23:59:33.1230000Z,16530,16622,16496,16615,473.82361803,11433
2023-01-02T00:00:00.0000000Z,2023-01-03T00:00:00.0000000Z,2023-01-02T00:00:23.5020000Z,2023-01-02T23:59:47.2190000Z,16615,16782,16552,16673,1050.89359259,9991
2023-01-03T00:00:00.0000000Z,2023-01-04T00:00:00.0000000Z,2023-01-03T00:00:27.4330000Z,2023-01-03T23:59:51.6650000Z,16668,16766,16605,16670,1398.45413875,12025
2023-01-04T00:00:00.0000000Z,2023-01-05T00:00:00.0000000Z,2023-01-04T00:00:39.2340000Z,2023-01-04T23:59:41.4680000Z,16673,16984,16652,16849,2016.36996126,16079
2023-01-05T00:00:00.0000000Z,2023-01-06T00:00:00.0000000Z,2023-01-05T00:00:05.6030000Z,2023-01-05T23:59:29.2900000Z,16847,16871,16755,16826,1136.3265861900002,10346
2023-01-06T00:00:00.0000000Z,2023-01-07T00:00:00.0000000Z,2023-01-06T00:00:22.2310000Z,2023-01-06T23:59:32.5910000Z,16826,17024,16669,16950,1755.18037801,12619
2023-01-07T00:00:00.0000000Z,2023-01-08T00:00:00.0000000Z,2023-01-07T00:00:06.7510000Z,2023-01-07T23:59:59.4220000Z,16951,16975,16907,16945,529.2435709500002,6680
2023-01-08T00:00:00.0000000Z,2023-01-09T00:00:00.0000000Z,2023-01-08T00:00:19.9610000Z,2023-01-08T23:59:46.3930000Z,16946,17163,16915,17119,816.23975246,7152
2023-01-09T00:00:00.0000000Z,2023-01-10T00:00:00.0000000Z,2023-01-09T00:00:05.5860000Z,2023-01-09T23:59:53.7640000Z,17124,17393,17108,17179,2249.94030871,12694
2023-01-10T00:00:00.0000000Z,2023-01-11T00:00:00.0000000Z,2023-01-10T00:00:07.9780000Z,2023-01-10T23:59:32.2260000Z,17177,17490,17147,17446,1225.88648963,10037
2023-01-11T00:00:00.0000000Z,2023-01-12T00:00:00.0000000Z,2023-01-11T00:00:06.7860000Z,2023-01-11T23:59:28.6950000Z,17448,17992,17318,17930,1915.78989016,12311
2023-01-12T00:00:00.0000000Z,2023-01-13T00:00:00.0000000Z,2023-01-12T00:00:02.7450000Z,2023-01-12T23:59:40.3920000Z,17948,19114,17911,18853,5160.23328597,24905
2023-01-13T00:00:00.0000000Z,2023-01-14T00:00:00.0000000Z,2023-01-13T00:00:03.3830000Z,2023-01-13T23:59:33.0100000Z,18852,19991,18720,19931,3771.97564995,18642
2023-01-14T00:00:00.0000000Z,2023-01-15T00:00:00.0000000Z,2023-01-14T00:00:10.5260000Z,2023-01-14T23:59:53.9680000Z,19936,21247,19895,20960,6836.204140659999,26498
2023-01-15T00:00:00.0000000Z,2023-01-16T00:00:00.0000000Z,2023-01-15T00:00:08.9740000Z,2023-01-15T23:58:54.0590000Z,20961,21052,20549,20885,1349.1315069600005,8661
2023-01-16T00:00:00.0000000Z,2023-01-17T00:00:00.0000000Z,2023-01-16T00:00:05.9380000Z,2023-01-16T23:59:34.5550000Z,20879,21456,20634,21189,3235.37541466,18621
2023-01-17T00:00:00.0000000Z,2023-01-18T00:00:00.0000000Z,2023-01-17T00:00:24.9430000Z,2023-01-17T23:59:52.3800000Z,21186,21594,20863,21134,2303.231444850001,15274
2023-01-18T00:00:00.0000000Z,2023-01-19T00:00:00.0000000Z,2023-01-18T00:00:01.5440000Z,2023-01-18T23:57:29.4240000Z,21136,21646,20358,20670,3792.69900244,19974
2023-01-19T00:00:00.0000000Z,2023-01-20T00:00:00.0000000Z,2023-01-19T00:00:06.2980000Z,2023-01-19T23:59:53.4280000Z,20678,21185,20654,21086,2399.15671044,14835
2023-01-20T00:00:00.0000000Z,2023-01-21T00:00:00.0000000Z,2023-01-20T00:00:11.6100000Z,2023-01-20T23:59:54.3510000Z,21085,22750,20869,22678,2963.349953369999,18127
2023-01-21T00:00:00.0000000Z,2023-01-22T00:00:00.0000000Z,2023-01-21T00:00:06.1560000Z,2023-01-21T23:59:51.0000000Z,22670,23362,22442,22783,3083.37149842,20584
2023-01-22T00:00:00.0000000Z,2023-01-23T00:00:00.0000000Z,2023-01-22T00:00:06.9520000Z,2023-01-22T23:59:40.7290000Z,22791,23076,22314,22717,1440.3638401800004,13830
2023-01-23T00:00:00.0000000Z,2023-01-24T00:00:00.0000000Z,2023-01-23T00:00:59.2730000Z,2023-01-23T23:59:55.8370000Z,22708,23167,22525,22922,1725.89555336,14810
2023-01-24T00:00:00.0000000Z,2023-01-25T00:00:00.0000000Z,2023-01-24T00:00:08.3090000Z,2023-01-24T23:59:39.4580000Z,22922,23162,22473,22637,1980.41661745,14799
2023-01-25T00:00:00.0000000Z,2023-01-26T00:00:00.0000000Z,2023-01-25T00:00:06.0130000Z,2023-01-25T23:59:51.6820000Z,22636,23815,22334,23054,2590.7526210100004,19055
2023-01-26T00:00:00.0000000Z,2023-01-27T00:00:00.0000000Z,2023-01-26T00:00:01.0590000Z,2023-01-26T23:59:50.6620000Z,23063,23282,22866,23010,1483.4311528700002,15363
2023-01-27T00:00:00.0000000Z,2023-01-28T00:00:00.0000000Z,2023-01-27T00:00:08.1660000Z,2023-01-27T23:59:57.6230000Z,23011,23500,22541,23083,2121.7402611800003,16365
2023-01-28T00:00:00.0000000Z,2023-01-29T00:00:00.0000000Z,2023-01-28T00:00:04.6340000Z,2023-01-28T23:59:49.1210000Z,23082,23187,22894,23033,831.63943062,9725
2023-01-29T00:00:00.0000000Z,2023-01-30T00:00:00.0000000Z,2023-01-29T00:00:03.8540000Z,2023-01-29T23:59:55.8820000Z,23031,23954,22981,23746,1615.93941447,12852
2023-01-30T00:00:00.0000000Z,2023-01-31T00:00:00.0000000Z,2023-01-30T00:00:03.7830000Z,2023-01-30T23:59:55.4490000Z,23748,23799,22504,22831,2105.9268983199995,16144
2023-02-01T00:00:00.0000000Z,2023-02-02T00:00:00.0000000Z,2023-02-01T00:00:14.3680000Z,2023-02-01T23:59:43.6530000Z,23134,23810,22768,23735,2461.84843139,17090
2023-02-02T00:00:00.0000000Z,2023-02-03T00:00:00.0000000Z,2023-02-02T00:00:05.0590000Z,2023-02-02T23:59:47.6630000Z,23736,24258,23377,23498,2609.58252721,19097
2023-02-03T00:00:00.0000000Z,2023-02-04T00:00:00.0000000Z,2023-02-03T00:00:01.5390000Z,2023-02-03T23:59:34.2760000Z,23503,23719,23212,23434,1742.0711284900003,16027
2023-02-04T00:00:00.0000000Z,2023-02-05T00:00:00.0000000Z,2023-02-04T00:00:23.5120000Z,2023-02-04T23:59:43.9480000Z,23421,23582,23266,23330,799.21227741,9875
2023-02-05T00:00:00.0000000Z,2023-02-06T00:00:00.0000000Z,2023-02-05T00:00:07.8340000Z,2023-02-05T23:59:50.2820000Z,23328,23428,22766,22937,1565.69556184,12734
2023-02-06T00:00:00.0000000Z,2023-02-07T00:00:00.0000000Z,2023-02-06T00:00:42.8460000Z,2023-02-06T23:59:53.5480000Z,22942,23148,22643,22763,1758.6802694300002,14394
2023-02-07T00:00:00.0000000Z,2023-02-08T00:00:00.0000000Z,2023-02-07T00:00:08.8980000Z,2023-02-07T23:59:48.7530000Z,22761,23338,22751,23252,2786.30911905,17282
2023-02-08T00:00:00.0000000Z,2023-02-09T00:00:00.0000000Z,2023-02-08T00:00:05.4640000Z,2023-02-08T23:59:52.0530000Z,23246,23439,22686,22961,1236.37069596,13159
2023-02-09T00:00:00.0000000Z,2023-02-10T00:00:00.0000000Z,2023-02-09T00:00:17.7670000Z,2023-02-09T23:59:48.6850000Z,22965,23003,21700,21802,2260.7850852999995,31657
2023-02-10T00:00:00.0000000Z,2023-02-11T00:00:00.0000000Z,2023-02-10T00:00:04.7900000Z,2023-02-10T23:59:41.9280000Z,21803,21939,21454,21639,1503.9932381799997,13707
2023-02-11T00:00:00.0000000Z,2023-02-12T00:00:00.0000000Z,2023-02-11T00:00:01.4390000Z,2023-02-11T23:59:42.1180000Z,21631,21904,21610,21868,714.75834458,7638
2023-02-12T00:00:00.0000000Z,2023-02-13T00:00:00.0000000Z,2023-02-12T00:00:06.9250000Z,2023-02-12T23:59:52.4590000Z,21868,22086,21649,21789,1500.4904286800004,9090
2023-02-13T00:00:00.0000000Z,2023-02-14T00:00:00.0000000Z,2023-02-13T00:00:03.3220000Z,2023-02-13T23:59:38.9120000Z,21790,21897,21376,21790,1948.68256018,17006
2023-02-14T00:00:00.0000000Z,2023-02-15T00:00:00.0000000Z,2023-02-14T00:00:09.5730000Z,2023-02-14T23:59:53.8100000Z,21790,22316,21569,22211,2078.05407787,14171
2023-02-15T00:00:00.0000000Z,2023-02-16T00:00:00.0000000Z,2023-02-15T00:00:01.0970000Z,2023-02-15T23:59:56.6950000Z,22208,24374,22064,24332,2333.0268624099995,16016
2023-02-16T00:00:00.0000000Z,2023-02-17T00:00:00.0000000Z,2023-02-16T00:00:01.3210000Z,2023-02-16T23:59:58.4780000Z,24332,25270,23520,23521,3652.69656328,22091
2023-02-17T00:00:00.0000000Z,2023-02-18T00:00:00.0000000Z,2023-02-17T00:00:04.3390000Z,2023-02-17T23:59:17.3420000Z,23518,25014,23369,24580,3402.87726628,22224
2023-02-18T00:00:00.0000000Z,2023-02-19T00:00:00.0000000Z,2023-02-18T00:00:11.0700000Z,2023-02-18T23:58:20.0180000Z,24577,24869,24450,24640,742.2744911199999,9021
2023-02-19T00:00:00.0000000Z,2023-02-20T00:00:00.0000000Z,2023-02-19T00:00:05.8230000Z,2023-02-19T23:59:41.3370000Z,24638,25183,24211,24296,1748.5356393500003,13699
2023-02-20T00:00:00.0000000Z,2023-02-21T00:00:00.0000000Z,2023-02-20T00:00:09.8330000Z,2023-02-20T23:59:50.0930000Z,24271,25118,23862,24843,1879.8361798200003,15549
2023-02-21T00:00:00.0000000Z,2023-02-22T00:00:00.0000000Z,2023-02-21T00:00:05.8280000Z,2023-02-21T23:59:54.5910000Z,24843,25250,24165,24450,2510.3887395400006,18622
2023-02-22T00:00:00.0000000Z,2023-02-23T00:00:00.0000000Z,2023-02-22T00:00:03.3510000Z,2023-02-22T23:59:20.0790000Z,24450,24474,23594,24188,2005.21018874,16387
2023-02-23T00:00:00.0000000Z,2023-02-24T00:00:00.0000000Z,2023-02-23T00:00:10.5270000Z,2023-02-23T23:59:56.4390000Z,24188,24590,23636,23939,2021.74721162,17074
2023-02-24T00:00:00.0000000Z,2023-02-25T00:00:00.0000000Z,2023-02-24T00:00:05.1320000Z,2023-02-24T23:59:37.2050000Z,23939,24124,22865,23189,2793.84517076,19996
2023-02-25T00:00:00.0000000Z,2023-02-26T00:00:00.0000000Z,2023-02-25T00:00:07.1110000Z,2023-02-25T23:59:51.7880000Z,23186,23215,22770,23161,861.89205456,10797
2023-02-26T00:00:00.0000000Z,2023-02-27T00:00:00.0000000Z,2023-02-26T00:00:17.6400000Z,2023-02-26T23:59:47.8810000Z,23166,23678,23068,23562,1022.3318415899996,9723
2023-02-27T00:00:00.0000000Z,2023-02-28T00:00:00.0000000Z,2023-02-27T00:00:13.0200000Z,2023-02-27T23:59:59.5480000Z,23560,23890,23126,23493,1762.04738603,15889
2023-02-28T00:00:00.0000000Z,2023-03-01T00:00:00.0000000Z,2023-02-28T00:00:06.3740000Z,2023-02-28T23:59:50.2110000Z,23497,23594,23048,23136,1200.44217857,13216
2023-03-01T00:00:00.0000000Z,2023-03-02T00:00:00.0000000Z,2023-03-01T00:00:13.8880000Z,2023-03-01T23:59:56.4360000Z,23146,23990,23040,23634,1779.64617391,15561
2023-03-02T00:00:00.0000000Z,2023-03-03T00:00:00.0000000Z,2023-03-02T00:00:05.1170000Z,2023-03-02T23:59:08.1380000Z,23632,23791,23206,23466,1068.50073024,13248
2023-03-04T00:00:00.0000000Z,2023-03-05T00:00:00.0000000Z,2023-03-04T00:00:03.6090000Z,2023-03-04T23:59:56.3860000Z,22359,22401,22170,22347,613.30340087,9632
2023-03-05T00:00:00.0000000Z,2023-03-06T00:00:00.0000000Z,2023-03-05T00:00:03.8290000Z,2023-03-05T23:59:31.9040000Z,22347,22652,22212,22428,943.45621619,10132
2023-03-06T00:00:00.0000000Z,2023-03-07T00:00:00.0000000Z,2023-03-06T00:00:07.4250000Z,2023-03-06T23:59:08.7920000Z,22427,22590,22263,22407,1176.19513469,11949
2023-03-07T00:00:00.0000000Z,2023-03-08T00:00:00.0000000Z,2023-03-07T00:00:14.6530000Z,2023-03-07T23:59:59.5890000Z,22414,22547,21931,22200,1861.36071437,15235
