id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price,volume_24h
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,91340.0,1808713820073,1.0,1917411707140.0,33553724907.0,95904.0,91287.0,-2919.2460778198583,-3.09703,-54965008917.16919,-2.94927,19809512.0,21000000.0,21000000.0,108135.0,-15.22396,2024-12-17T15:02:41.429Z,67.81,135091.96673,2013-07-06T00:00:00.000Z,,2025-01-13T11:19:40.707Z,,
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,3107.51,374306538342,2.0,374306538342.0,18417247035.0,3327.61,3106.8,-142.90399384059037,-4.39649,-16808806172.720093,-4.29766,120493047.5421975,120493047.5421975,,4878.26,-36.05148,2021-11-10T14:24:19.604Z,0.432979,720391.36927,2015-10-20T00:00:00.000Z,"{'times': 44.49281120686498, 'currency': 'btc', 'percentage': 4449.281120686497}",2025-01-13T11:19:38.876Z,,
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.4,138115853288,3.0,240198211628.0,5846118740.0,2.56,2.4,-0.08337320591351327,-3.35153,-4668953625.06604,-3.26992,57493120449.0,99986673391.0,100000000000.0,3.4,-28.64572,2018-01-07T00:00:00.000Z,0.00268621,90173.75459,2014-05-22T00:00:00.000Z,,2025-01-13T11:19:36.957Z,,
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.999041,137321790561,4.0,137321790561.0,55597165627.0,0.99959,0.999011,-0.000376963585593693,-0.03772,-50275953.27229309,-0.0366,137449718934.4178,137449718934.4178,,1.32,-24.49037,2018-07-24T00:00:00.000Z,0.572521,74.50267,2015-03-02T00:00:00.000Z,,2025-01-13T11:19:37.156Z,,
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,664.46,96887321302,5.0,96887321302.0,672658915.0,699.77,664.16,-27.104890674879357,-3.91935,-3833844398.9738007,-3.80639,145887575.79,145887575.79,200000000.0,788.84,-15.37615,2024-12-04T10:35:25.220Z,0.0398177,1676415.48368,2017-10-19T00:00:00.000Z,,2025-01-13T11:19:41.384Z,,
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,177.38,85915677160,6.0,105020952673.0,3270868342.0,191.66,177.32,-9.172303672162172,-4.91668,-4400226913.18808,-4.87204,484421188.0200593,592143091.2543296,,263.21,-32.25251,2024-11-23T15:05:59.896Z,0.500801,35506.20093,2020-05-11T19:35:23.449Z,,2025-01-13T11:19:36.598Z,,
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.319165,47056798074,7.0,47073215823.0,2182419257.0,0.344811,0.318852,-0.017700840548223518,-5.25457,-2581795201.298752,-5.20119,147552746383.7052,147604226383.7052,,0.731578,-56.20709,2021-05-08T05:08:23.458Z,8.69e-05,368559.98389,2015-05-06T00:00:00.000Z,,2025-01-13T11:19:36.845Z,,
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.9999,45722081993,8.0,45772648332.0,3442557483.0,1.0,0.999686,0.00014779,0.01478,-1585742.45728302,-0.00347,45726643902.15002,45777215285.96377,,1.17,-14.73902,2019-05-08T00:40:28.300Z,0.877647,13.92521,2023-03-11T08:02:13.981Z,,2025-01-13T11:19:37.116Z,,
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.908608,32563355588,9.0,40860178490.0,936077218.0,0.99971,0.908293,-0.0776177686432149,-7.87018,-2711889928.840744,-7.6878,35862569759.2298,45000000000.0,45000000000.0,3.09,-70.3664,2021-09-02T06:00:10.474Z,0.01925275,4651.33619,2020-03-13T02:22:55.044Z,,2025-01-13T11:19:36.440Z,,
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,3105.13,29858704547,10.0,29858704547.0,45990430.0,3327.47,3105.07,-142.3215409440627,-4.38256,-1307080882.5876198,-4.19396,9610974.638286902,9610974.638286902,,4829.57,-35.63971,2021-11-10T14:40:47.256Z,482.9,543.68402,2020-12-22T04:08:21.854Z,,2025-01-13T11:19:35.277Z,,
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.219699,18926581101,11.0,18926719190.0,873227263.0,0.238102,0.219669,-0.01726901801954661,-7.28749,-1463897445.0995445,-7.17932,86173758941.14937,86174387670.78299,,0.431288,-48.77285,2024-12-04T00:10:40.323Z,0.00180434,12144.72776,2017-11-12T00:00:00.000Z,"{'times': 114.63099135606768, 'currency': 'usd', 'percentage': 11463.099135606768}",2025-01-13T11:19:39.570Z,,
avalanche-2,avax,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,33.84,13897235689,12.0,15194149257.0,313793031.0,37.39,33.83,-2.900184758154758,-7.89269,-1173081319.3054142,-7.78405,410795650.9671117,449131796.7578507,720000000.0,144.96,-76.59399,2021-11-21T14:18:56.538Z,2.8,1111.31249,2020-12-31T13:15:21.540Z,,2025-01-13T11:19:41.658Z,,
sui,sui,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,4.41,13266123814,13.0,44079807802.0,1438399100.0,4.85,4.4,-0.43396236528264165,-8.95911,-1316275285.8667965,-9.02647,3009569341.533888,10000000000.0,10000000000.0,5.35,-17.28291,2025-01-04T22:56:18.063Z,0.364846,1112.16104,2023-10-19T10:40:30.078Z,,2025-01-13T11:19:42.148Z,,
wrapped-steth,wsteth,Wrapped stETH,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,3735.53,13157376297,14.0,13157376297.0,23608558.0,3954.02,3735.44,-129.0259380198204,-3.3387,-435597294.2741394,-3.20458,3522367.770512309,3522367.770512309,,7256.02,-48.45465,2022-05-13T15:09:54.509Z,558.54,569.62809,2022-05-13T01:36:45.053Z,,2025-01-13T11:19:39.535Z,,
the-open-network,ton,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446,5.07,12860321204,15.0,25921129000.0,209254438.0,5.4,5.05,-0.3182675769869059,-5.91163,-788527386.2611275,-5.77724,2540084027.367624,5119766815.899719,,8.25,-38.60756,2024-06-15T00:36:51.509Z,0.519364,875.63419,2021-09-21T00:33:11.092Z,,2025-01-13T11:19:36.346Z,,
stellar,xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/fmpFRHHQ_400x400.jpg?1735231350,0.402507,12232138267,16.0,20120428278.0,394768585.0,0.438351,0.402394,-0.025922003196132023,-6.05047,-775638540.1408806,-5.96288,30398397216.34887,50001786899.90237,50001786899.90237,0.875563,-53.77689,2018-01-03T00:00:00.000Z,0.00047612,84901.5944,2015-03-05T00:00:00.000Z,,2025-01-13T11:19:40.088Z,,
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,91256.0,12029440720,17.0,12029440720.0,267741399.0,95511.0,91262.0,-2749.1000481091905,-2.92441,-360850950.3656235,-2.91237,131830.43002371,131830.43002371,131830.43002371,107645.0,-15.02366,2024-12-17T15:02:56.539Z,3139.17,2813.92467,2019-04-02T00:00:00.000Z,,2025-01-13T11:19:39.412Z,,
shiba-inu,shib,Shiba Inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,2.025e-05,11924567566,18.0,11929690808.0,424484573.0,2.207e-05,2.023e-05,-1.409652835721e-06,-6.50944,-815663549.5907726,-6.40227,589255265545172.6,589508431714503.1,,8.616e-05,-76.45146,2021-10-28T03:54:55.568Z,5.6366e-11,35995004.25278,2020-11-28T11:26:25.838Z,,2025-01-13T11:19:41.987Z,,
chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,18.36,11585028618,19.0,18356883420.0,691398915.0,20.3,18.34,-1.6076414307928317,-8.05251,-992897574.2043266,-7.89397,631099972.3083414,1000000000.0,1000000000.0,52.7,-65.02234,2021-05-10T00:13:57.214Z,0.148183,12338.68212,2017-11-29T00:00:00.000Z,,2025-01-13T11:19:36.159Z,,
hedera-hashgraph,hbar,Hedera,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.264073,10095170466,20.0,13194000116.0,393610513.0,0.287602,0.263582,-0.016735522569233663,-5.95976,-647430620.6815453,-6.02676,38256671126.66534,50000000000.0,50000000000.0,0.569229,-53.42806,2021-09-15T10:40:28.318Z,0.00986111,2588.34772,2020-01-02T17:30:24.852Z,,2025-01-13T11:19:40.781Z,,
weth,weth,WETH,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,3110.6,9831663786,21.0,9831663786.0,782955194.0,3321.02,3110.85,-138.4067706155215,-4.25997,-75632889.87003326,-0.76341,3160885.741863716,3160885.741863716,,4799.89,-34.96544,2021-11-09T00:00:00.000Z,82.1,3702.02183,2018-12-15T00:00:00.000Z,,2025-01-13T11:19:37.370Z,,
polkadot,dot,Polkadot,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,6.14,9352799294,22.0,9352799294.0,264579976.0,6.79,6.14,-0.5422216193592586,-8.11017,-794715648.3075924,-7.83163,1522267060.0,1522267060.0,,54.98,-88.78938,2021-11-04T14:10:09.301Z,2.7,128.50053,2020-08-20T05:48:11.359Z,,2025-01-13T11:19:42.307Z,,
leo-token,leo,LEO Token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,9.16,8467123589,23.0,9024912575.0,644990.0,9.34,9.14,-0.12757974704073227,-1.37376,-149775243.02249336,-1.73816,924346310.9,985239504.0,,9.79,-6.41755,2024-12-18T21:46:10.173Z,0.799859,1045.35089,2019-12-24T15:14:35.376Z,,2025-01-13T11:19:41.408Z,,
bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,414.32,8203278217,24.0,8693806909.0,308081474.0,462.73,414.1,-25.84808031433147,-5.87232,-501326763.2697811,-5.75933,19815121.77165078,21000000.0,21000000.0,3785.82,-88.99291,2017-12-20T00:00:00.000Z,76.93,441.63843,2018-12-16T00:00:00.000Z,,2025-01-13T11:19:36.251Z,,
bitget-token,bgb,Bitget Token,https://coin-images.coingecko.com/coins/images/11610/large/icon_colour.png?1696511504,6.4,7631982832,25.0,7631982832.0,651171443.0,7.17,6.35,-0.6835082231862595,-9.65573,-879427545.5651951,-10.33234,1199999994.2,1199999994.2,2000000000.0,8.45,-24.47187,2024-12-27T11:41:24.992Z,0.0142795,44596.03617,2020-06-25T04:17:05.895Z,,2025-01-13T11:19:34.360Z,,
uniswap,uni,Uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,12.55,7531098246,26.0,12541732774.0,279833340.0,13.9,12.54,-1.153448613253497,-8.41559,-669885592.6105413,-8.16836,600483073.71,1000000000.0,1000000000.0,44.92,-71.93096,2021-05-03T05:25:04.822Z,1.03,1123.88145,2020-09-17T01:20:38.214Z,,2025-01-13T11:19:40.308Z,,
