time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count,lag_1,lag_2,lag_3,lag_4,lag_5
2023-01-06T00:00:00.0000000Z,2023-01-07T00:00:00.0000000Z,2023-01-06T00:00:22.2310000Z,2023-01-06T23:59:32.5910000Z,16826,17024,16669,16950,1755.18037801,12619,16826.0,16849.0,16670.0,16673.0,16615.0
2023-01-07T00:00:00.0000000Z,2023-01-08T00:00:00.0000000Z,2023-01-07T00:00:06.7510000Z,2023-01-07T23:59:59.4220000Z,16951,16975,16907,16945,529.2435709500002,6680,16950.0,16826.0,16849.0,16670.0,16673.0
2023-01-08T00:00:00.0000000Z,2023-01-09T00:00:00.0000000Z,2023-01-08T00:00:19.9610000Z,2023-01-08T23:59:46.3930000Z,16946,17163,16915,17119,816.23975246,7152,16945.0,16950.0,16826.0,16849.0,16670.0
2023-01-09T00:00:00.0000000Z,2023-01-10T00:00:00.0000000Z,2023-01-09T00:00:05.5860000Z,2023-01-09T23:59:53.7640000Z,17124,17393,17108,17179,2249.94030871,12694,17119.0,16945.0,16950.0,16826.0,16849.0
2023-01-10T00:00:00.0000000Z,2023-01-11T00:00:00.0000000Z,2023-01-10T00:00:07.9780000Z,2023-01-10T23:59:32.2260000Z,17177,17490,17147,17446,1225.88648963,10037,17179.0,17119.0,16945.0,16950.0,16826.0
2023-01-11T00:00:00.0000000Z,2023-01-12T00:00:00.0000000Z,2023-01-11T00:00:06.7860000Z,2023-01-11T23:59:28.6950000Z,17448,17992,17318,17930,1915.78989016,12311,17446.0,17179.0,17119.0,16945.0,16950.0
2023-01-12T00:00:00.0000000Z,2023-01-13T00:00:00.0000000Z,2023-01-12T00:00:02.7450000Z,2023-01-12T23:59:40.3920000Z,17948,19114,17911,18853,5160.23328597,24905,17930.0,17446.0,17179.0,17119.0,16945.0
2023-01-13T00:00:00.0000000Z,2023-01-14T00:00:00.0000000Z,2023-01-13T00:00:03.3830000Z,2023-01-13T23:59:33.0100000Z,18852,19991,18720,19931,3771.97564995,18642,18853.0,17930.0,17446.0,17179.0,17119.0
2023-01-14T00:00:00.0000000Z,2023-01-15T00:00:00.0000000Z,2023-01-14T00:00:10.5260000Z,2023-01-14T23:59:53.9680000Z,19936,21247,19895,20960,6836.204140659999,26498,19931.0,18853.0,17930.0,17446.0,17179.0
2023-01-15T00:00:00.0000000Z,2023-01-16T00:00:00.0000000Z,2023-01-15T00:00:08.9740000Z,2023-01-15T23:58:54.0590000Z,20961,21052,20549,20885,1349.1315069600005,8661,20960.0,19931.0,18853.0,17930.0,17446.0
2023-01-16T00:00:00.0000000Z,2023-01-17T00:00:00.0000000Z,2023-01-16T00:00:05.9380000Z,2023-01-16T23:59:34.5550000Z,20879,21456,20634,21189,3235.37541466,18621,20885.0,20960.0,19931.0,18853.0,17930.0
2023-01-17T00:00:00.0000000Z,2023-01-18T00:00:00.0000000Z,2023-01-17T00:00:24.9430000Z,2023-01-17T23:59:52.3800000Z,21186,21594,20863,21134,2303.231444850001,15274,21189.0,20885.0,20960.0,19931.0,18853.0
2023-01-18T00:00:00.0000000Z,2023-01-19T00:00:00.0000000Z,2023-01-18T00:00:01.5440000Z,2023-01-18T23:57:29.4240000Z,21136,21646,20358,20670,3792.69900244,19974,21134.0,21189.0,20885.0,20960.0,19931.0
2023-01-19T00:00:00.0000000Z,2023-01-20T00:00:00.0000000Z,2023-01-19T00:00:06.2980000Z,2023-01-19T23:59:53.4280000Z,20678,21185,20654,21086,2399.15671044,14835,20670.0,21134.0,21189.0,20885.0,20960.0
2023-01-20T00:00:00.0000000Z,2023-01-21T00:00:00.0000000Z,2023-01-20T00:00:11.6100000Z,2023-01-20T23:59:54.3510000Z,21085,22750,20869,22678,2963.349953369999,18127,21086.0,20670.0,21134.0,21189.0,20885.0
2023-01-21T00:00:00.0000000Z,2023-01-22T00:00:00.0000000Z,2023-01-21T00:00:06.1560000Z,2023-01-21T23:59:51.0000000Z,22670,23362,22442,22783,3083.37149842,20584,22678.0,21086.0,20670.0,21134.0,21189.0
2023-01-22T00:00:00.0000000Z,2023-01-23T00:00:00.0000000Z,2023-01-22T00:00:06.9520000Z,2023-01-22T23:59:40.7290000Z,22791,23076,22314,22717,1440.3638401800004,13830,22783.0,22678.0,21086.0,20670.0,21134.0
2023-01-23T00:00:00.0000000Z,2023-01-24T00:00:00.0000000Z,2023-01-23T00:00:59.2730000Z,2023-01-23T23:59:55.8370000Z,22708,23167,22525,22922,1725.89555336,14810,22717.0,22783.0,22678.0,21086.0,20670.0
2023-01-24T00:00:00.0000000Z,2023-01-25T00:00:00.0000000Z,2023-01-24T00:00:08.3090000Z,2023-01-24T23:59:39.4580000Z,22922,23162,22473,22637,1980.41661745,14799,22922.0,22717.0,22783.0,22678.0,21086.0
2023-01-25T00:00:00.0000000Z,2023-01-26T00:00:00.0000000Z,2023-01-25T00:00:06.0130000Z,2023-01-25T23:59:51.6820000Z,22636,23815,22334,23054,2590.7526210100004,19055,22637.0,22922.0,22717.0,22783.0,22678.0
2023-01-26T00:00:00.0000000Z,2023-01-27T00:00:00.0000000Z,2023-01-26T00:00:01.0590000Z,2023-01-26T23:59:50.6620000Z,23063,23282,22866,23010,1483.4311528700002,15363,23054.0,22637.0,22922.0,22717.0,22783.0
2023-01-27T00:00:00.0000000Z,2023-01-28T00:00:00.0000000Z,2023-01-27T00:00:08.1660000Z,2023-01-27T23:59:57.6230000Z,23011,23500,22541,23083,2121.7402611800003,16365,23010.0,23054.0,22637.0,22922.0,22717.0
2023-01-28T00:00:00.0000000Z,2023-01-29T00:00:00.0000000Z,2023-01-28T00:00:04.6340000Z,2023-01-28T23:59:49.1210000Z,23082,23187,22894,23033,831.63943062,9725,23083.0,23010.0,23054.0,22637.0,22922.0
2023-01-29T00:00:00.0000000Z,2023-01-30T00:00:00.0000000Z,2023-01-29T00:00:03.8540000Z,2023-01-29T23:59:55.8820000Z,23031,23954,22981,23746,1615.93941447,12852,23033.0,23083.0,23010.0,23054.0,22637.0
2023-01-30T00:00:00.0000000Z,2023-01-31T00:00:00.0000000Z,2023-01-30T00:00:03.7830000Z,2023-01-30T23:59:55.4490000Z,23748,23799,22504,22831,2105.9268983199995,16144,23746.0,23033.0,23083.0,23010.0,23054.0
2023-02-01T00:00:00.0000000Z,2023-02-02T00:00:00.0000000Z,2023-02-01T00:00:14.3680000Z,2023-02-01T23:59:43.6530000Z,23134,23810,22768,23735,2461.84843139,17090,22831.0,23746.0,23033.0,23083.0,23010.0
2023-02-02T00:00:00.0000000Z,2023-02-03T00:00:00.0000000Z,2023-02-02T00:00:05.0590000Z,2023-02-02T23:59:47.6630000Z,23736,24258,23377,23498,2609.58252721,19097,23735.0,22831.0,23746.0,23033.0,23083.0
2023-02-03T00:00:00.0000000Z,2023-02-04T00:00:00.0000000Z,2023-02-03T00:00:01.5390000Z,2023-02-03T23:59:34.2760000Z,23503,23719,23212,23434,1742.0711284900003,16027,23498.0,23735.0,22831.0,23746.0,23033.0
2023-02-04T00:00:00.0000000Z,2023-02-05T00:00:00.0000000Z,2023-02-04T00:00:23.5120000Z,2023-02-04T23:59:43.9480000Z,23421,23582,23266,23330,799.21227741,9875,23434.0,23498.0,23735.0,22831.0,23746.0
2023-02-05T00:00:00.0000000Z,2023-02-06T00:00:00.0000000Z,2023-02-05T00:00:07.8340000Z,2023-02-05T23:59:50.2820000Z,23328,23428,22766,22937,1565.69556184,12734,23330.0,23434.0,23498.0,23735.0,22831.0
2023-02-06T00:00:00.0000000Z,2023-02-07T00:00:00.0000000Z,2023-02-06T00:00:42.8460000Z,2023-02-06T23:59:53.5480000Z,22942,23148,22643,22763,1758.6802694300002,14394,22937.0,23330.0,23434.0,23498.0,23735.0
2023-02-07T00:00:00.0000000Z,2023-02-08T00:00:00.0000000Z,2023-02-07T00:00:08.8980000Z,2023-02-07T23:59:48.7530000Z,22761,23338,22751,23252,2786.30911905,17282,22763.0,22937.0,23330.0,23434.0,23498.0
2023-02-08T00:00:00.0000000Z,2023-02-09T00:00:00.0000000Z,2023-02-08T00:00:05.4640000Z,2023-02-08T23:59:52.0530000Z,23246,23439,22686,22961,1236.37069596,13159,23252.0,22763.0,22937.0,23330.0,23434.0
2023-02-09T00:00:00.0000000Z,2023-02-10T00:00:00.0000000Z,2023-02-09T00:00:17.7670000Z,2023-02-09T23:59:48.6850000Z,22965,23003,21700,21802,2260.7850852999995,31657,22961.0,23252.0,22763.0,22937.0,23330.0
2023-02-10T00:00:00.0000000Z,2023-02-11T00:00:00.0000000Z,2023-02-10T00:00:04.7900000Z,2023-02-10T23:59:41.9280000Z,21803,21939,21454,21639,1503.9932381799997,13707,21802.0,22961.0,23252.0,22763.0,22937.0
2023-02-11T00:00:00.0000000Z,2023-02-12T00:00:00.0000000Z,2023-02-11T00:00:01.4390000Z,2023-02-11T23:59:42.1180000Z,21631,21904,21610,21868,714.75834458,7638,21639.0,21802.0,22961.0,23252.0,22763.0
2023-02-12T00:00:00.0000000Z,2023-02-13T00:00:00.0000000Z,2023-02-12T00:00:06.9250000Z,2023-02-12T23:59:52.4590000Z,21868,22086,21649,21789,1500.4904286800004,9090,21868.0,21639.0,21802.0,22961.0,23252.0
