time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count,lag_1,lag_2,lag_3,lag_4,lag_5
2023-01-06T00:00:00.0000000Z,2023-01-07T00:00:00.0000000Z,2023-01-06T00:00:04.9020000Z,2023-01-06T23:59:06.5040000Z,1250.9,1276.0,1235.6,1269.2,9421.58037323,7364,1250.6,1256.5,1214.5,1214.5,1200.0
2023-01-07T00:00:00.0000000Z,2023-01-08T00:00:00.0000000Z,2023-01-07T00:00:29.5070000Z,2023-01-07T23:59:20.1280000Z,1269.1,1270.7,1261.2,1263.9,2237.86133896,3611,1269.2,1250.6,1256.5,1214.5,1214.5
2023-01-08T00:00:00.0000000Z,2023-01-09T00:00:00.0000000Z,2023-01-08T00:00:08.4320000Z,2023-01-08T23:59:58.9920000Z,1264.0,1294.2,1257.9,1289.6,5697.66100277,5290,1263.9,1269.2,1250.6,1256.5,1214.5
2023-01-09T00:00:00.0000000Z,2023-01-10T00:00:00.0000000Z,2023-01-09T00:00:01.7060000Z,2023-01-09T23:59:52.8210000Z,1289.6,1345.0,1285.5,1320.5,15609.26550736,8991,1289.6,1263.9,1269.2,1250.6,1256.5
2023-01-10T00:00:00.0000000Z,2023-01-11T00:00:00.0000000Z,2023-01-10T00:00:32.1320000Z,2023-01-10T23:59:52.4220000Z,1320.4,1347.5,1317.0,1335.5,10826.615975279998,7347,1320.5,1289.6,1263.9,1269.2,1250.6
2023-01-11T00:00:00.0000000Z,2023-01-12T00:00:00.0000000Z,2023-01-11T00:00:14.5250000Z,2023-01-11T23:59:53.7900000Z,1335.7,1396.9,1321.5,1390.2,10939.525698170002,7027,1335.5,1320.5,1289.6,1263.9,1269.2
2023-01-12T00:00:00.0000000Z,2023-01-13T00:00:00.0000000Z,2023-01-12T00:00:05.0660000Z,2023-01-12T23:59:05.8280000Z,1389.7,1437.9,1360.9,1416.6,18461.72647372,10630,1390.2,1335.5,1320.5,1289.6,1263.9
2023-01-13T00:00:00.0000000Z,2023-01-14T00:00:00.0000000Z,2023-01-13T00:01:09.9270000Z,2023-01-13T23:59:58.2140000Z,1416.2,1463.8,1402.1,1451.0,14375.528404779994,8231,1416.6,1390.2,1335.5,1320.5,1289.6
2023-01-14T00:00:00.0000000Z,2023-01-15T00:00:00.0000000Z,2023-01-14T00:00:34.7830000Z,2023-01-14T23:59:49.9110000Z,1450.9,1591.9,1449.9,1550.0,18587.380975129992,11534,1451.0,1416.6,1390.2,1335.5,1320.5
2023-01-15T00:00:00.0000000Z,2023-01-16T00:00:00.0000000Z,2023-01-15T00:00:12.4960000Z,2023-01-15T23:57:58.9580000Z,1550.5,1567.1,1516.0,1553.2,4763.854956970002,5185,1550.0,1451.0,1416.6,1390.2,1335.5
2023-01-16T00:00:00.0000000Z,2023-01-17T00:00:00.0000000Z,2023-01-16T00:01:22.4960000Z,2023-01-16T23:59:41.9090000Z,1553.2,1603.7,1522.3,1577.1,10059.58685408,9317,1553.2,1550.0,1451.0,1416.6,1390.2
2023-01-17T00:00:00.0000000Z,2023-01-18T00:00:00.0000000Z,2023-01-17T00:00:26.1760000Z,2023-01-17T23:59:53.9880000Z,1576.7,1607.7,1541.6,1565.1,7784.17325176,7224,1577.1,1553.2,1550.0,1451.0,1416.6
2023-01-18T00:00:00.0000000Z,2023-01-19T00:00:00.0000000Z,2023-01-18T00:00:11.3170000Z,2023-01-18T23:59:33.7020000Z,1565.0,1611.6,1501.4,1511.7,17672.39474445,12398,1565.1,1577.1,1553.2,1550.0,1451.0
2023-01-19T00:00:00.0000000Z,2023-01-20T00:00:00.0000000Z,2023-01-19T00:00:12.8410000Z,2023-01-19T23:59:40.4410000Z,1509.7,1564.0,1509.7,1551.4,10662.62380028,7704,1511.7,1565.1,1577.1,1553.2,1550.0
2023-01-20T00:00:00.0000000Z,2023-01-21T00:00:00.0000000Z,2023-01-20T00:00:05.9900000Z,2023-01-20T23:59:58.9490000Z,1551.2,1671.3,1542.6,1658.4,25506.79714524,21504,1551.4,1511.7,1565.1,1577.1,1553.2
2023-01-21T00:00:00.0000000Z,2023-01-22T00:00:00.0000000Z,2023-01-21T00:00:01.5290000Z,2023-01-21T23:59:43.6810000Z,1658.4,1680.0,1619.2,1626.4,20816.69875133,19904,1658.4,1551.4,1511.7,1565.1,1577.1
2023-01-22T00:00:00.0000000Z,2023-01-23T00:00:00.0000000Z,2023-01-22T00:00:05.9570000Z,2023-01-22T23:59:45.1490000Z,1626.8,1664.0,1604.3,1628.0,12478.14572289,12320,1626.4,1658.4,1551.4,1511.7,1565.1
2023-01-23T00:00:00.0000000Z,2023-01-24T00:00:00.0000000Z,2023-01-23T00:00:00.9570000Z,2023-01-23T23:59:25.2160000Z,1628.0,1647.7,1584.4,1626.4,14628.69050087,13725,1628.0,1626.4,1658.4,1551.4,1511.7
2023-01-24T00:00:00.0000000Z,2023-01-25T00:00:00.0000000Z,2023-01-24T00:00:23.0670000Z,2023-01-24T23:59:55.7620000Z,1626.5,1641.4,1533.5,1556.5,17626.799982949997,14662,1626.4,1628.0,1626.4,1658.4,1551.4
2023-01-25T00:00:00.0000000Z,2023-01-26T00:00:00.0000000Z,2023-01-25T00:00:25.0100000Z,2023-01-25T23:59:30.1120000Z,1554.7,1640.0,1517.5,1609.8,19948.41438873,14836,1556.5,1626.4,1628.0,1626.4,1658.4
2023-01-26T00:00:00.0000000Z,2023-01-27T00:00:00.0000000Z,2023-01-26T00:02:09.6780000Z,2023-01-26T23:59:36.5110000Z,1613.4,1632.7,1577.5,1601.6,10456.46564051,9658,1609.8,1556.5,1626.4,1628.0,1626.4
2023-01-27T00:00:00.0000000Z,2023-01-28T00:00:00.0000000Z,2023-01-27T00:00:29.2290000Z,2023-01-27T23:58:57.1300000Z,1601.6,1621.4,1553.6,1598.2,12300.86928848,9608,1601.6,1609.8,1556.5,1626.4,1628.0
2023-01-28T00:00:00.0000000Z,2023-01-29T00:00:00.0000000Z,2023-01-28T00:00:04.3330000Z,2023-01-28T23:59:22.2010000Z,1598.2,1606.2,1557.4,1572.9,3585.85855757,5145,1598.2,1601.6,1609.8,1556.5,1626.4
2023-01-29T00:00:00.0000000Z,2023-01-30T00:00:00.0000000Z,2023-01-29T00:00:01.5610000Z,2023-01-29T23:59:56.1820000Z,1572.4,1660.7,1567.2,1645.3,9651.29217503,7929,1572.9,1598.2,1601.6,1609.8,1556.5
2023-01-30T00:00:00.0000000Z,2023-01-31T00:00:00.0000000Z,2023-01-30T00:00:00.1470000Z,2023-01-30T23:59:56.1600000Z,1644.8,1647.5,1533.9,1566.3,13255.782462780002,9566,1645.3,1572.9,1598.2,1601.6,1609.8
2023-02-01T00:00:00.0000000Z,2023-02-02T00:00:00.0000000Z,2023-02-01T00:00:35.7950000Z,2023-02-01T23:59:48.7230000Z,1585.4,1647.8,1557.0,1642.0,9956.39768955,8873,1566.3,1645.3,1572.9,1598.2,1601.6
2023-02-02T00:00:00.0000000Z,2023-02-03T00:00:00.0000000Z,2023-02-02T00:00:08.2970000Z,2023-02-02T23:59:50.6970000Z,1642.6,1714.1,1625.9,1644.0,20333.94387446,13026,1642.0,1566.3,1645.3,1572.9,1598.2
2023-02-03T00:00:00.0000000Z,2023-02-04T00:00:00.0000000Z,2023-02-03T00:00:01.6740000Z,2023-02-03T23:59:08.6110000Z,1644.0,1676.1,1626.3,1664.2,17766.47843553,11113,1644.0,1642.0,1566.3,1645.3,1572.9
2023-02-04T00:00:00.0000000Z,2023-02-05T00:00:00.0000000Z,2023-02-04T00:00:01.2670000Z,2023-02-04T23:59:48.1050000Z,1663.8,1695.0,1645.7,1667.0,4769.268198399999,5642,1664.2,1644.0,1642.0,1566.3,1645.3
2023-02-05T00:00:00.0000000Z,2023-02-06T00:00:00.0000000Z,2023-02-05T00:00:18.2250000Z,2023-02-05T23:59:15.9120000Z,1666.3,1673.9,1610.3,1629.8,8414.66802967,7551,1667.0,1664.2,1644.0,1642.0,1566.3
2023-02-06T00:00:00.0000000Z,2023-02-07T00:00:00.0000000Z,2023-02-06T00:00:20.8580000Z,2023-02-06T23:59:42.1520000Z,1629.6,1657.8,1605.6,1614.0,16663.447147059996,9554,1629.8,1667.0,1664.2,1644.0,1642.0
2023-02-07T00:00:00.0000000Z,2023-02-08T00:00:00.0000000Z,2023-02-07T00:00:13.3060000Z,2023-02-07T23:59:55.2950000Z,1613.8,1677.5,1613.5,1671.7,8692.232010090001,8019,1614.0,1629.8,1667.0,1664.2,1644.0
2023-02-08T00:00:00.0000000Z,2023-02-09T00:00:00.0000000Z,2023-02-08T00:00:00.9440000Z,2023-02-08T23:59:50.8980000Z,1671.3,1696.9,1631.9,1650.6,11677.62461579,8537,1671.7,1614.0,1629.8,1667.0,1664.2
2023-02-09T00:00:00.0000000Z,2023-02-10T00:00:00.0000000Z,2023-02-09T00:00:37.5460000Z,2023-02-09T23:59:14.2960000Z,1650.8,1655.5,1524.8,1545.6,16169.662420969997,12110,1650.6,1671.7,1614.0,1629.8,1667.0
2023-02-10T00:00:00.0000000Z,2023-02-11T00:00:00.0000000Z,2023-02-10T00:00:01.8450000Z,2023-02-10T23:59:46.1050000Z,1545.8,1554.9,1492.3,1514.4,6392.80947823,6104,1545.6,1650.6,1671.7,1614.0,1629.8
2023-02-11T00:00:00.0000000Z,2023-02-12T00:00:00.0000000Z,2023-02-11T00:00:10.0770000Z,2023-02-11T23:59:22.7710000Z,1513.2,1543.3,1505.0,1538.9,2893.15610055,3558,1514.4,1545.6,1650.6,1671.7,1614.0
2023-02-12T00:00:00.0000000Z,2023-02-13T00:00:00.0000000Z,2023-02-12T00:00:13.4280000Z,2023-02-12T23:58:30.5010000Z,1538.9,1548.0,1494.4,1515.7,3762.79635818,4181,1538.9,1514.4,1545.6,1650.6,1671.7
2023-02-13T00:00:00.0000000Z,2023-02-14T00:00:00.0000000Z,2023-02-13T00:00:01.1450000Z,2023-02-13T23:59:38.2720000Z,1515.4,1525.9,1463.2,1506.4,10842.79254238,8572,1515.7,1538.9,1514.4,1545.6,1650.6
